,afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,id
0,0.0,00:00:00,False,False,00:00:00,4.655464,0.40597847,00:05:13.937000,9823633.937,00:06:27,False,29,2022-06-06 15:12:14+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:00:33.063000+00:00,2022-06-06 15:05:47+00:00,00:06:27,"{'x': -73.71463775634766, 'y': 45.57358169555664}",0.40597847,00:05:13.937000,00:06:27,{'id': 'bBF'},"{'id': 'b54', 'isDriver': True}",b13B433A
1,0.0,00:00:00,False,False,00:00:00,29.735357,8.020287,00:16:11,71332920.0,00:01:17,False,85,2022-06-06 15:38:44.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:49:55+00:00,2022-06-06 15:06:06+00:00,00:32:38.063000,"{'x': -73.6653823852539, 'y': 45.49662780761719}",8.020287,00:16:11,00:32:38.063000,{'id': 'bD'},UnknownDriverId,b13B499A
2,0.0,00:00:00,False,False,00:00:00,1.6355253,0.056334764,00:02:04,48299335.98,00:02:53,False,10,2022-06-06 15:10:05+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:05:08+00:00,2022-06-06 15:07:12+00:00,00:02:53,"{'x': -73.70349884033203, 'y': 45.45520782470703}",0.056334764,00:02:04,00:02:53,{'id': 'b35'},UnknownDriverId,b13B42AA
3,0.0,00:00:00,False,False,00:00:00,6.5075493,1.0231314,00:09:26,71180783.0,00:09:25,False,26,2022-06-06 15:17:10+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:58:19+00:00,2022-06-06 15:07:45+00:00,00:09:25,"{'x': -73.67237091064453, 'y': 45.49155807495117}",1.0231314,00:09:26,00:09:25,{'id': 'b6A'},UnknownDriverId,b13B4434
4,0.0,00:00:00,False,False,00:00:00,68.26521,23.493416,00:20:38.937000,2000880.0,00:00:18,False,105,2022-06-06 15:09:25.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:47:12.063000+00:00,2022-06-06 15:07:51+00:00,00:01:34.063000,"{'x': -72.70402526855469, 'y': 45.30910873413086}",23.493416,00:20:38.936999,00:01:34.063000,{'id': 'b1459'},"{'id': 'b61', 'isDriver': True}",b13B428A
5,0.0,00:00:00,False,False,00:00:00,3.4343915,0.29758716,00:05:11.937000,17087040.0,00:00:08,False,20,2022-06-06 15:25:18.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:03:01.063000+00:00,2022-06-06 15:08:13+00:00,00:17:05.063000,"{'x': -73.60041046142578, 'y': 45.60906219482422}",0.29758716,00:05:11.937000,00:17:05.063000,{'id': 'bD3'},UnknownDriverId,b13B4635
6,0.0,00:00:00,False,False,00:00:00,36.266567,15.755174,00:26:03.937000,5214240.0,00:00:32,False,103,2022-06-06 15:40:46.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:42:16.063000+00:00,2022-06-06 15:08:20+00:00,00:32:26.063000,"{'x': -73.61587524414062, 'y': 45.72234344482422}",15.755174,00:26:03.936999,00:32:26.063000,{'id': 'bB9'},"{'id': 'b6E', 'isDriver': True}",b13B49F3
7,0.0,00:00:00,False,False,00:00:00,43.54275,22.87204,00:31:31,5660640.0,00:00:07,False,88,2022-06-06 15:15:13.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:37:10+00:00,2022-06-06 15:08:41+00:00,00:06:32.063000,"{'x': -73.6980209350586, 'y': 45.457279205322266}",22.87204,00:31:31,00:06:32.063000,{'id': 'bB8'},UnknownDriverId,b13B43A9
8,0.0,00:00:00,False,False,00:00:00,30.01394,4.8772655,00:09:45,18867465.0,00:09:53,False,100,2022-06-06 15:18:48+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:59:10+00:00,2022-06-06 15:08:55+00:00,00:09:53,"{'x': -73.62409210205078, 'y': 45.7072639465332}",4.8772655,00:09:45,00:09:53,{'id': 'b67'},UnknownDriverId,b13B448C
9,0.0,00:00:00,False,False,00:00:00,72.78705,187.80952,02:34:48.937000,28635768.993,00:04:40,False,112,2022-06-06 15:14:41+00:00,1,00:00:18.071000,0,00:00:00,0,00:00:00,2022-06-06 12:35:12.063000+00:00,2022-06-06 15:10:01+00:00,00:04:40,"{'x': -71.79000091552734, 'y': 45.362152099609375}",187.80952,02:34:48.937000,00:04:40,{'id': 'b5'},"{'id': 'b66', 'isDriver': True}",b13B4379
10,0.0,00:00:00,False,False,00:00:00,26.234503,7.1411557,00:16:19.937000,42387480.0,00:00:33,False,94,2022-06-06 15:12:47.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:44.063000+00:00,2022-06-06 15:10:04+00:00,00:02:43.127000,"{'x': -73.66512298583984, 'y': 45.4964485168457}",7.1411557,00:16:19.937000,00:02:43.127000,{'id': 'bC3'},"{'id': 'b132', 'isDriver': True}",b13B433F
11,0.0,00:00:00,False,False,00:00:00,5.9681935,0.88683546,00:08:54.937000,73652760.0,00:01:10,False,35,2022-06-06 15:39:19.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:01:10.063000+00:00,2022-06-06 15:10:05+00:00,00:29:14.063000,"{'x': -73.66548156738281, 'y': 45.49667739868164}",0.88683546,00:08:54.937000,00:29:14.063000,{'id': 'b5A'},UnknownDriverId,b13B49B4
12,0.0,00:00:00,False,False,00:00:00,25.99852,4.2604136,00:09:49.937000,901800.0,00:00:24,False,77,2022-06-06 15:24:34.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:00:37.063000+00:00,2022-06-06 15:10:27+00:00,00:14:07.063000,"{'x': -73.75313568115234, 'y': 45.636634826660156}",4.2604136,00:09:49.937000,00:14:07.063000,{'id': 'bE2'},UnknownDriverId,b13B4615
13,0.0,00:00:00,False,False,00:00:00,2.5497365,0.30309072,00:07:07.937000,75390907.937,00:11:55,False,18,2022-06-06 15:22:32+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:03:29.063000+00:00,2022-06-06 15:10:37+00:00,00:11:55,"{'x': -73.70388793945312, 'y': 45.46723937988281}",0.30309072,00:07:07.937000,00:11:55,{'id': 'b6E'},UnknownDriverId,b13B45B4
14,0.0,00:00:00,False,False,00:00:00,69.36288,64.738686,00:56:00,99658080.0,00:00:40,False,105,2022-06-06 15:22:44.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:15:07+00:00,2022-06-06 15:11:07+00:00,00:11:37.127000,"{'x': -70.70574188232422, 'y': 46.8882942199707}",64.738686,00:56:00,00:11:37.127000,{'id': 'b6D'},UnknownDriverId,b13B45B2
